2019-06-02 14:56:16 DEBUG    LOG STARTED: 2019-06-02
2019-06-02 14:56:16 INFO     TARGET ASSIGNED AS: 8.8.8.8
2019-06-02 14:56:18 INFO     TARGET (SUCCESS): 8.8.8.8 At 14:56:18
2019-06-02 14:56:21 INFO     TARGET (SUCCESS): 8.8.8.8 At 14:56:21
2019-06-02 14:56:24 INFO     TARGET (SUCCESS): 8.8.8.8 At 14:56:24
2019-06-02 14:56:27 INFO     TARGET (SUCCESS): 8.8.8.8 At 14:56:27
2019-06-02 14:56:31 INFO     TARGET (SUCCESS): 8.8.8.8 At 14:56:31
2019-06-02 14:56:34 INFO     TARGET (SUCCESS): 8.8.8.8 At 14:56:34
2019-06-02 14:56:37 INFO     TARGET (SUCCESS): 8.8.8.8 At 14:56:37
2019-06-02 14:56:40 INFO     TARGET (SUCCESS): 8.8.8.8 At 14:56:40
